Mã máy,"Tên máy móc, thiết bị",Thông số kỹ thuật,Khu vực,Trạng thái,Người phụ trách
EQP-001,Máy UV ( khử khuẩn nước),12-45m3/h/220v/50hz,Xử lý nước,dừng hoạt động,Lê Minh Khang
EQP-002,Motor bơm cấp nước nuôi trồng,12-45m3/h/2.2kw/380v,Xử lý nước,đang hoạt động,Lê Minh Khang
EQP-003,Lọc UF,150 PSI ( 0.7 Mpa )/3672/34 - 1200F (1 - 490C ),Xử lý nước,đang hoạt động,Lê Minh Khang
EQP-004,Máy Liqoflux,18.5kw/8000l/h,Nhà chế biến,đang hoạt động,Lê Minh Khang
EQP-005,Bể Chứa nước thô( tròn ngoài trời), chất liệu composite/100m3,Xử lý nước,đang hoạt động,Lê Minh Khang
EQP-006,Bể Chứa nước ngọt (Buffer Tank) , chất liệu composite/55m3,Nhà chế biến,đang hoạt động,Lê Minh Khang
EQP-007,Bể thu hoạch tảo (Buffer Tank), chất liệu composite/55m3,Nhà chế biến,đang hoạt động,Dương Tấn Lộc
EQP-008,Bể tuần hoàn composite , chất liệu composite/20m3,Nhà chế biến,dừng hoạt động,Dương Tấn Lộc
EQP-009,Bể Chứa nước ngọt cấp cho biomass, chất liệu composite/2m3,Nhà chế biến,chuyển đổi mục đích,Lê Minh Khang
EQP-010,Bể Chứa nước cấp cho RWP, chất liệu composite/100m3,Nhà chế biến,đang hoạt động,Dương Tấn Lộc
EQP-011,Bể chứa tảo sau thu hoạch, chất liệu composite/5m3,Nhà chế biến,đang hoạt động,Lê Minh Khang
EQP-012,Máy Evodos,21.6kw/500l/h-4000l/h,Nhà chế biến,dừng hoạt động,Dương Tấn Lộc
EQP-013,Chuyền đóng chai,260 chai/h (500ml),Nhà chế biến,tháo dở,Lê Minh Khang
EQP-014,Máy sấy thăng hoa,120kw/380v/100kg/lần,Nhà chế biến,dừng hoạt động,Dương Tấn Lộc
EQP-015,Kho trữ đông 01,18hp/380v,Nhà chế biến,chuyển đổi mục đích,Lê Minh Khang
EQP-016,Kho trữ đông 02,18hp/380v,Nhà chế biến,đang hoạt động,Lê Minh Khang
EQP-017,Mấy cấp đông nhanh,4.5kw/16000l/h,Nhà chế biến,dừng hoạt động,Lê Minh Khang
EQP-018, Tủ nguồn ( phòng tủ điện),"1250A, 380v",Nhà chế biến,đang hoạt động,Lê Minh Khang
EQP-019,Hệ thống thu tảo SPI,N/A,Nhà chế biến,đang hoạt động,Dương Tấn Lộc
EQP-020,Máy lọc tảo chân không ( VBF ),TXDU4-800/380V/50HZ,Nhà chế biến,đang hoạt động,Lê Minh Khang
EQP-021,Máy sấy phun  ( LPG-200 ),LPG-200,Nhà chế biến,đang hoạt động,Lê Minh Khang
EQP-022,Hệ thống biomass 1350 lít,"3925x2035x360/220v, 50hz, IOT/0.6pma (Co2)",Greenhouse,dừng hoạt động,Lê Minh Khang
